name,species,zoo_id,capture_points,pack_bonus_mult,type
Black-necked grebe,Podiceps nigricollis,67,40,1.35,Bird
Slavonian grebe,Podiceps auritus,68,40,1.35,Bird
Black-throated diver,Gavia arctica,69,42,2,Bird
Red-throated diver,Gavia stellata,70,30,2,Bird
Mediterranean gull,Ichthyaetus melanocephalus,71,20,1.1,Bird
Sooty shearwater,Ardenna grisea,72,35,1.1,Bird
Storm Petrel,Hydrobates pelagicus,73,38,1.1,Bird
Roseate tern,Sterna dougallii,74,45,1.1,Bird
Arctic tern,Sterna paradisaea,75,25,1.1,Bird
Common tern,Sterna hirundo,76,15,1.1,Bird
Sandwich tern,Thalasseus sandvicensis,77,18,1.1,Bird
Little tern,Sternula albifrons,78,30,1.1,Bird
Kittiwake,Rissa tridactyla,79,20,1.1,Bird
Great black-backed gull,Larus marinus,80,15,2,Bird
Lesser black-backed gull,Larus fuscus,81,10,1.1,Bird
Herring gull,Larus argentatus,82,5,1.1,Bird
Common gull,Larus canus,83,10,1.1,Bird
Black-headed gull,Chroicocephalus ridibundus,84,3,1.1,Bird
Arctic skua,Stercorarius parasiticus,85,32,2,Bird
Great skua,Stercorarius skua,86,32,2,Bird
Razorbill,Alca torda,87,22,1.1,Bird
Guillemot,Uria aalge,88,20,1.1,Bird
Black guillemot,Cepphus grylle,89,30,2,Bird
Puffin,Fratercula arctica,90,25,1.1,Bird
Shag,Gulosus aristotelis,91,20,1.35,Bird
Cormorant,Phalacrocorax carbo,92,8,1.35,Bird
Northern gannet,Morus bassanus,93,20,1.1,Bird
Manx shearwater,Puffinus puffinus,94,25,1.1,Bird
Fulmar,Fulmarus glacialis,95,15,1.35,Bird
Red-crested pochard,Netta rufina,96,30,1.35,Bird
Long-tailed duck,Clangula hyemalis,97,35,1.35,Bird
Egyptian goose,Alopochen aegyptiaca,98,12,1.35,Bird
Smew,Mergellus albellus,99,40,2,Bird
Garganey,Spatula querquedula,100,38,2,Bird
Eider,Somateria mollissima,101,20,1.1,Bird
Common scoter,Melanitta nigra,102,25,1.1,Bird
Red-breasted merganser,Mergus serrator,103,22,1.35,Bird
Goosander,Mergus merganser,104,20,1.35,Bird
Goldeneye,Bucephala clangula,105,25,1.35,Bird
Tufted duck,Aythya fuligula,106,8,1.1,Bird
Pochard,Aythya ferina,107,25,1.1,Bird
Teal,Anas crecca,108,10,1.1,Bird
Wigeon,Mareca penelope,109,12,1.1,Bird
Shoveler,Spatula clypeata,110,15,1.35,Bird
Pintail,Anas acuta,111,25,1.35,Bird
Gadwall,Mareca strepera,112,15,1.35,Bird
Mallard,Anas platyrhynchos,113,1,1.35,Bird
Mandarin duck,Aix galericulata,114,15,1.35,Bird
Shelduck,Tadorna tadorna,115,12,1.35,Bird
Brent goose,Branta bernicla,116,18,1.1,Bird
Barnacle goose,Branta leucopsis,117,20,1.1,Bird
Canada goose,Branta canadensis,118,3,1.1,Bird
Pink-footed goose,Anser brachyrhynchus,119,18,1.1,Bird
White-fronted goose,Anser albifrons,120,30,1.1,Bird
Greylag goose,Anser anser,121,5,1.1,Bird
Whooper swan,Cygnus cygnus,122,25,1.35,Bird
Bewick's swan,Cygnus columbianus,123,35,1.35,Bird
Mute swan,Cygnus olor,124,2,1.35,Bird
Glossy ibis,Plegadis falcinellus,125,40,1.35,Bird
Cattle egret,Bubulcus ibis,126,30,1.35,Bird
Common crane,Grus grus,127,38,1.35,Bird
Great white egret,Ardea alba,128,28,2,Bird
European spoonbill,Platalea leucorodia,129,32,1.35,Bird
Little egret,Egretta garzetta,130,10,1.35,Bird
Grey heron,Ardea cinerea,131,5,2,Bird
Bittern,Botaurus stellaris,132,45,2,Bird
Honey buzzard,Pernis apivorus,133,45,2,Bird
Goshawk,Accipiter gentilis,134,40,2,Bird
Barn owl,Tyto alba,135,30,2,Bird
Little owl,Athene noctua,136,25,2,Bird
Long-eared owl,Asio otus,137,35,1.35,Bird
Short-eared owl,Asio flammeus,138,30,2,Bird
Tawny owl,Strix aluco,139,20,2,Bird
Merlin,Falco columbarius,140,35,2,Bird
Peregrine falcon,Falco peregrinus,141,25,2,Bird
Hobby,Falco subbuteo,142,28,2,Bird
Kestrel,Falco tinnunculus,143,12,2,Bird
Sparrowhawk,Accipiter nisus,144,15,2,Bird
Buzzard,Buteo buteo,145,8,2,Bird
Hen harrier,Circus cyaneus,146,40,2,Bird
Marsh harrier,Circus aeruginosus,147,30,2,Bird
Osprey,Pandion haliaetus,148,38,2,Bird
Red kite,Milvus milvus,149,15,1.35,Bird
Golden eagle,Aquila chrysaetos,150,48,2,Bird
White-tailed eagle,Haliaeetus albicilla,151,47,2,Bird
Quail,Coturnix coturnix,152,35,2,Bird
Capercaillie,Tetrao urogallus,153,50,2,Bird
Ptarmigan,Lagopus muta,154,40,1.35,Bird
Pheasant,Phasianus colchicus,155,2,2,Bird
Grey partridge,Perdix perdix,156,25,1.35,Bird
Red-legged partridge,Alectoris rufa,157,10,1.35,Bird
Black grouse,Lyrurus tetrix,158,40,1.35,Bird
Red grouse,Lagopus lagopus scotica,159,15,2,Bird
Little stint,Calidris minuta,160,30,1.35,Bird
Stone curlew,Burhinus oedicnemus,161,42,2,Bird
Black-winged stilt,Himantopus himantopus,162,45,1.35,Bird
Jack snipe,Lymnocryptes minimus,163,35,2,Bird
Purple sandpiper,Calidris maritima,164,35,1.35,Bird
Corncrake,Crex crex,165,48,2,Bird
Red-neck phalarope,Phalaropus lobatus,166,45,2,Bird
Snipe,Gallinago gallinago,167,18,2,Bird
Woodcock,Scolopax rusticola,168,25,2,Bird
Whimbrel,Numenius phaeopus,169,25,1.35,Bird
Curlew,Numenius arquata,170,20,1.1,Bird
Bar-tailed godwit,Limosa lapponica,171,25,1.1,Bird
Black-tailed godwit,Limosa limosa,172,25,1.1,Bird
Greenshank,Tringa nebularia,173,25,2,Bird
Redshank,Tringa totanus,174,15,1.1,Bird
Ruff,Calidris pugnax,175,30,1.35,Bird
Common sandpiper,Actitis hypoleucos,176,20,2,Bird
Green Sandpiper,Tringa ochropus,177,25,2,Bird
Dunlin,Calidris alpina,178,18,1.1,Bird
Sanderling,Calidris alba,179,20,1.1,Bird
Knot,Calidris canutus,180,20,1.1,Bird
Turnstone,Arenaria interpres,181,18,1.35,Bird
Grey plover,Pluvialis squatarola,182,20,1.35,Bird
Golden plover,Pluvialis apricaria,183,18,1.1,Bird
Lapwing,Vanellus vanellus,184,12,1.1,Bird
Ringed plover,Charadrius hiaticula,185,15,1.35,Bird
Little ringed plover,Charadrius dubius,186,25,2,Bird
Avocet,Recurvirostra avosetta,187,28,1.35,Bird
Oystercatcher,Haematopus ostralegus,188,10,1.1,Bird
Coot,Fulica atra,189,5,1.35,Bird
Moorhen,Gallinula chloropus,190,5,2,Bird
Water rail,Rallus aquaticus,191,28,2,Bird
Collared dove,Streptopelia decaocto,192,5,1.35,Bird
Turtle dove,Streptopelia turtur,193,45,2,Bird
Stock dove,Columba oenas,194,12,1.35,Bird
Woodpigeon,Columba palumbus,195,1,1.1,Bird
Rock dove,Columba livia,196,5,1.1,Bird
Wryneck,Jynx torquilla,197,45,2,Bird
Waxwing,Bombycilla garrulus,198,35,1.1,Bird
Kingfisher,Alcedo atthis,199,25,2,Bird
Cuckoo,Cuculus canorus,200,30,2,Bird
Lesser spotted woodpecker,Dryobates minor,201,44,2,Bird
Green woodpecker,Picus viridis,202,20,2,Bird
Great spotted woodpecker,Dendrocopos major,203,12,2,Bird
Nightjar,Caprimulgus europaeus,204,42,2,Bird
Swallow,Hirundo rustica,205,8,1.1,Bird
House martin,Delichon urbicum,206,10,1.1,Bird
Sand martin,Riparia riparia,207,15,1.1,Bird
Swift,Apus apus,208,15,1.1,Bird
Ring-necked parakeet,Psittacula krameri,209,10,1.1,Bird
Tree pipit,Anthus trivialis,210,25,2,Bird
Shore lark,Eremophila alpestris,211,40,1.35,Bird
Tree sparrow,Passer montanus,212,20,1.35,Bird
House sparrow,Passer domesticus,213,3,1.1,Bird
Dunnock,Prunella modularis,214,4,2,Bird
Grey wagtail,Motacilla cinerea,215,15,2,Bird
Yellow wagtail,Motacilla flava,216,25,1.35,Bird
Pied wagtail,Motacilla alba yarrellii,217,8,1.35,Bird
Meadow pipit,Anthus pratensis,218,8,1.35,Bird
Rock pipit,Anthus petrosus,219,18,2,Bird
Woodlark,Lullula arborea,220,38,1.35,Bird
Skylark,Alauda arvensis,221,10,1.35,Bird
Black redstart,Phoenicurus ochruros,222,35,2,Bird
Ring ouzel,Turdus torquatus,223,35,2,Bird
Treecreeper,Certhia familiaris,224,18,2,Bird
Nuthatch,Sitta europaea,225,12,2,Bird
Wren,Troglodytes troglodytes,226,2,2,Bird
Dipper,Cinclus cinclus,227,22,2,Bird
Starling,Sturnus vulgaris,228,5,1.1,Bird
Spotted flycatcher,Muscicapa striata,229,30,2,Bird
Pied flycatcher,Ficedula hypoleuca,230,30,2,Bird
Wheatear,Oenanthe oenanthe,231,20,2,Bird
Whinchat,Saxicola rubetra,232,25,2,Bird
Stonechat,Saxicola rubicola,233,15,2,Bird
Redstart,Phoenicurus phoenicurus,234,25,2,Bird
Nightingale,Luscinia megarhynchos,235,35,2,Bird
Robin,Erithacus rubecula,236,1,2,Bird
Blackbird,Turdus merula,237,1,2,Bird
Fieldfare,Turdus pilaris,238,15,1.1,Bird
Redwing,Turdus iliacus,239,15,1.1,Bird
Mistle thrush,Turdus viscivorus,240,12,2,Bird
Song thrush,Turdus philomelos,241,8,2,Bird
Yellow-browed warbler,Phylloscopus inornatus,242,40,2,Bird
Grasshopper warbler,Locustella naevia,243,35,2,Bird
Firecrest,Regulus ignicapilla,244,30,2,Bird
Dartford warbler,Curruca undata,245,35,2,Bird
Chiffchaff,Phylloscopus collybita,246,8,2,Bird
Willow warbler,Phylloscopus trochilus,247,10,2,Bird
Wood warbler,Phylloscopus sibilatrix,248,30,2,Bird
Cetti's warbler,Cettia cetti,249,20,2,Bird
Reed warbler,Acrocephalus scirpaceus,250,15,1.35,Bird
Sedge warbler,Acrocephalus schoenobaenus,251,15,2,Bird
Lesser whitethroat,Curruca curruca,252,20,2,Bird
Whitethroat,Curruca communis,253,12,2,Bird
Garden warbler,Sylvia borin,254,20,2,Bird
Blackcap,Sylvia atricapilla,255,10,2,Bird
Goldcrest,Regulus regulus,256,12,1.35,Bird
Marsh tit,Poecile palustris,257,25,1.35,Bird
Willow tit,Poecile montanus,258,45,1.35,Bird
Bearded tit,Panurus biarmicus,259,35,1.1,Bird
Long-tailed tit,Aegithalos caudatus,260,8,1.1,Bird
Coal tit,Periparus ater,261,10,1.35,Bird
Blue tit,Cyanistes caeruleus,262,2,1.35,Bird
Great tit,Parus major,263,3,1.35,Bird
Great grey shrike,Lanius excubitor,264,45,2,Bird
Raven,Corvus corax,265,20,1.35,Bird
Hooded crow,Corvus cornix,266,20,1.35,Bird
Carrion crow,Corvus corone,267,3,1.35,Bird
Rook,Corvus frugilegus,268,5,1.1,Bird
Jackdaw,Corvus monedula,269,4,1.1,Bird
Chough,Pyrrhocorax pyrrhocorax,270,35,1.35,Bird
Jay,Garrulus glandarius,271,10,2,Bird
Magpie,Pica pica,272,3,1.35,Bird
Common rosefinch,Carpodacus erythrinus,273,45,1.35,Bird
Twite,Linaria flavirostris,274,35,1.35,Bird
Brambling,Fringilla montifringilla,275,20,1.1,Bird
Hawfinch,Coccothraustes coccothraustes,276,42,1.35,Bird
Snow bunting,Plectrophenax nivalis,277,30,1.35,Bird
Corn bunting,Emberiza calandra,278,25,1.35,Bird
Yellowhammer,Emberiza citrinella,279,15,1.35,Bird
Reed bunting,Emberiza schoeniclus,280,15,1.35,Bird
Common crossbill,Loxia curvirostra,281,25,1.1,Bird
Bullfinch,Pyrrhula pyrrhula,282,18,1.35,Bird
Siskin,Spinus spinus,283,15,1.1,Bird
Goldfinch,Carduelis carduelis,284,8,1.1,Bird
Greenfinch,Chloris chloris,285,10,1.35,Bird
Lesser redpoll,Acanthis cabaret,286,20,1.1,Bird
Linnet,Linaria cannabina,287,12,1.1,Bird
Chaffinch,Fringilla coelebs,288,5,1.1,Bird
